"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.4460244536,       1.709112923,       1.588552112,        5.01233252
          0,           0,           1,     -0.6415716942,       1.930598556,       1.827185126,       4.833956384
          0,           0,           2,     -0.4758356539,       2.126539405,       2.019766716,       5.020965389
          0,           0,           3,     -0.3820869779,       2.163122439,       2.154702136,       5.087362414
          0,           0,           4,     -0.2997129838,       2.113411205,       2.147894593,       5.143484623
          0,           0,           5,     -0.2346281419,       2.161284631,       2.052087856,       5.182941414
          0,           0,           6,     -0.2080521991,       2.246219187,        2.07189243,        5.21850774
          0,           0,           7,     -0.1784880417,       2.304800392,       2.143154883,       5.262055405
          0,           0,           8,     -0.2297677353,       2.338498246,       2.079218857,       5.199935463
          0,           0,           9,     -0.2963639832,         2.3257045,       2.024686026,       5.136613751
          0,           0,          10,      -0.353182188,       2.277669998,       1.961707047,        5.08093877
          0,           0,          11,     -0.4733623032,        2.20318397,       1.834714508,       4.952900181
          0,           0,          12,     -0.6187083195,       2.068050645,       1.698021941,       4.816433164
          0,           0,          13,     -0.6733800219,       2.002083754,       1.651794412,       4.764414622
          0,           0,          14,     -0.7145100489,       1.941165059,       1.596381599,       4.715828644
          0,           0,          15,     -0.7881871041,       1.849991596,       1.496855296,       4.645680679
          0,           0,          16,     -0.8849999152,       1.763271978,       1.407213697,       4.562820404
          0,           0,          17,     -0.9611865591,       1.713594689,       1.379048417,       4.496169599
          0,           0,          18,     -0.9975254484,       1.685329736,       1.344033443,       4.464228164
          0,           0,          19,      -1.004179887,       1.662638914,       1.306470268,       4.458070394
          0,           0,          20,     -0.9956497736,       1.656055141,       1.309805375,       4.459006652
          0,           0,          21,     -0.9920630283,       1.650695036,       1.333245781,       4.455076407
          0,           0,          22,      -0.997010497,       1.628409441,       1.358901792,       4.446434432
          0,           0,          23,     -0.9924459437,       1.603223164,       1.381420754,        4.44678408
          0,           0,          24,     -0.9985179717,       1.588311644,       1.376084038,       4.432442242
          0,           0,          25,      -1.006167409,        1.58360289,       1.368038879,       4.423748552
          0,           0,          26,      -1.025526775,       1.551715083,       1.337805669,       4.403522606
          0,           0,          27,      -1.058982155,       1.507704188,       1.285048064,       4.361749737
          0,           0,          28,      -1.074750192,       1.477765699,       1.235247525,       4.335865105
          0,           0,          29,      -1.063710384,       1.468563189,       1.189663553,       4.337275534
          0,           0,          30,      -1.057490171,       1.467603643,       1.172008028,       4.336973787
          0,           0,          31,      -1.078924976,       1.458770413,       1.186889428,       4.318638287
          0,           0,          32,      -1.100770194,       1.437105666,       1.179008366,       4.300053925
          0,           0,          33,       -1.11343694,       1.425774112,       1.151600728,       4.282762787
          0,           0,          34,      -1.137141418,       1.408908087,       1.136560853,       4.254218671
          0,           0,          35,      -1.146027429,       1.392254091,       1.115262217,       4.243430817
          0,           0,          36,      -1.140853106,       1.388822544,       1.087521301,       4.246644281
          0,           0,          37,      -1.150328957,        1.38396332,       1.065012054,       4.239326157
          0,           0,          38,      -1.166356851,       1.374953778,       1.054693536,        4.22858119
          0,           0,          39,      -1.168936481,       1.363792129,       1.044061782,       4.226283424
          0,           0,          40,      -1.160939375,       1.358040493,        1.03091314,       4.228556261
          0,           0,          41,      -1.164230239,       1.351494585,       1.022997205,       4.219856059
          0,           0,          42,      -1.179777126,       1.347702329,       1.025060372,        4.20449635
          0,           0,          43,      -1.208149056,       1.350817404,       1.028050802,       4.182209788
          0,           0,          44,      -1.239051037,       1.343930955,       1.023508167,       4.160045886
          0,           0,          45,      -1.216291934,       1.341562852,       1.023080934,       4.183261057
          0,           0,          46,      -1.161136406,       1.371482932,       1.043560932,       4.230704003
